ID,CMS Title,Content Type,Parsed Show,Episode,Data Source,NEW: SEO Title,NEW: SEO Description,NEW: SEO Heading,NEW: SEO Tags,CURRENT: Description,NEW: Description,CURRENT: Long Desc,NEW: Long Desc,CURRENT: Keywords,NEW: Keywords,CURRENT: Tags,NEW: Content+Personalization Tags,CURRENT: Rating,NEW: Rating
1,gratisography-cyber-kitty-800x525.jpg,16x9,Gratisography-cyber-kitty-800x525.jpg,,generated,Gratisography-cyber-kitty-800x525.jpg | VURT - Watch Free,Watch Gratisography-cyber-kitty-800x525.jpg free on VURT. Vertical micro-drama for your phone.,Gratisography-cyber-kitty-800x525.jpg,"gratisography-cyber-kitty-800x525.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Gratisography-cyber-kitty-800x525.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"gratisography-cyber-kitty-800x525.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"gratisography-cyber-kitty-800x525.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
18,,16x9,,,generated,Untitled | VURT - Watch Free,Watch Untitled free on VURT. Vertical micro-drama for your phone.,Untitled,"untitled, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Untitled on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"untitled, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"untitled, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
20,download (1).jpg,16x9,Download (1).jpg,,generated,Download (1).jpg | VURT - Watch Free,Watch Download (1).jpg free on VURT. Vertical micro-drama for your phone.,Download (1).jpg,"download (1).jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Download (1).jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"download (1).jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"download (1).jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
22,pexels-cottonbro-9669089.jpg,16x9,Pexels-cottonbro-9669089.jpg,,generated,Pexels-cottonbro-9669089.jpg | VURT - Watch Free,Watch Pexels-cottonbro-9669089.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-cottonbro-9669089.jpg,"pexels-cottonbro-9669089.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-cottonbro-9669089.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-cottonbro-9669089.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-cottonbro-9669089.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
24,pexels-tima-miroshnichenko-7206411.jpg,16x9,Pexels-tima-miroshnichenko-7206411.jpg,,generated,Pexels-tima-miroshnichenko-7206411.jpg | VURT - Watch Free,Watch Pexels-tima-miroshnichenko-7206411.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-tima-miroshnichenko-7206411.jpg,"pexels-tima-miroshnichenko-7206411.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-tima-miroshnichenko-7206411.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-tima-miroshnichenko-7206411.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-tima-miroshnichenko-7206411.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
25,Shadows of Tomorrow 1,MICRO_SEASON,Shadows of Tomorrow 1,,generated,Shadows of Tomorrow 1 Season 1 | VURT,Watch Shadows of Tomorrow 1 free on VURT. Vertical micro-drama for your phone.,Shadows of Tomorrow 1 Season 1,"shadows of tomorrow 1, VURT, free streaming, vertical drama, mobile entertainment, full season, micro-series, watch free",Shadows of Tomorrow,(keep existing),(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"shadows of tomorrow 1, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"shadows of tomorrow 1, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
26,Shadows of Tomorrow EP1,MICRO_EPISODES,Shadows of Tomorrow,1,generated,Shadows of Tomorrow Ep 1 | VURT - Watch Free,Watch Shadows of Tomorrow Episode 1 free on VURT. Vertical micro-drama for your phone.,Shadows of Tomorrow Episode 1,"shadows of tomorrow, VURT, free streaming, vertical drama, mobile entertainment, episodes, micro-series, watch free",Shadows of Tomorrow EP1,(keep existing),(empty),Watch Episode 1 free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now ,(empty),"shadows of tomorrow, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"shadows of tomorrow, micro-series, vertical, free streaming, mobile-first, episodes, binge-worthy, short-form",(empty),MA
27,pexels-ivan-s-8499292.jpg,16x9,Pexels-ivan-s-8499292.jpg,,generated,Pexels-ivan-s-8499292.jpg | VURT - Watch Free,Watch Pexels-ivan-s-8499292.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-ivan-s-8499292.jpg,"pexels-ivan-s-8499292.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-ivan-s-8499292.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-ivan-s-8499292.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-ivan-s-8499292.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
28,Shadows of Tomorrow EP2,MICRO_EPISODES,Shadows of Tomorrow,2,generated,Shadows of Tomorrow Ep 2 | VURT - Watch Free,Watch Shadows of Tomorrow Episode 2 free on VURT. Vertical micro-drama for your phone.,Shadows of Tomorrow Episode 2,"shadows of tomorrow, VURT, free streaming, vertical drama, mobile entertainment, episodes, micro-series, watch free",Shadows of Tomorrow EP2,(keep existing),(empty),Watch Episode 2 free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now ,(empty),"shadows of tomorrow, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"shadows of tomorrow, micro-series, vertical, free streaming, mobile-first, episodes, binge-worthy, short-form",(empty),MA
29,Shadows of Tomorrow EP1,MICRO_EPISODES,Shadows of Tomorrow,1,generated,Shadows of Tomorrow Ep 1 | VURT - Watch Free,Watch Shadows of Tomorrow Episode 1 free on VURT. Vertical micro-drama for your phone.,Shadows of Tomorrow Episode 1,"shadows of tomorrow, VURT, free streaming, vertical drama, mobile entertainment, episodes, micro-series, watch free",Shadows of Tomorrow EP1  Shadows of Tomorrow EP1  Shadows of Tomorrow EP1  Shadows of Tomorrow EP1  ,(keep existing),(empty),Watch Episode 1 free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now ,(empty),"shadows of tomorrow, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"shadows of tomorrow, micro-series, vertical, free streaming, mobile-first, episodes, binge-worthy, short-form",(empty),MA
