ID,CMS Title,Content Type,Parsed Show,Episode,Source,Current SEO Title,NEW SEO Title,Current Description,NEW Description,Current Long Desc,NEW Long Desc,Current Keywords,NEW Keywords,Current Tags,NEW Content Tags,Current Rating,NEW Rating,NEW SEO Desc,NEW Heading
1,gratisography-cyber-kitty-800x525.jpg,16x9,Gratisography-cyber-kitty-800x525.jpg,,generated,,Gratisography-cyber-kitty-800x525.jpg | Watch Free on VURT,(empty),Gratisography-cyber-kitty-800x525.jpg. Watch free on VURT.,(empty),"Watch free on VURT. Vertical-first streaming designed for your phone. No paywall, no subscription. S",(empty),"gratisography-cyber-kitty-800x525.jpg, vurt, free streaming, watch free, no paywall, myvurt, vertical video, micro drama",(empty),"black cinema, gratisography-cyber-kitty-800x525.jpg",(empty),TV-MA,"Watch Gratisography-cyber-kitty-800x525.jpg free on VURT. A micro-drama micro-series. No paywall, no subscription.",Gratisography-cyber-kitty-800x525.jpg
18,,16x9,,,generated,,Untitled | Watch Free on VURT,(empty),Untitled. Watch free on VURT.,(empty),"Watch free on VURT. Vertical-first streaming designed for your phone. No paywall, no subscription. S",(empty),"untitled, vurt, free streaming, watch free, no paywall, myvurt, vertical video, micro drama",(empty),"black cinema, untitled",(empty),TV-MA,"Watch Untitled free on VURT. A micro-drama micro-series. No paywall, no subscription.",Untitled
20,download (1).jpg,16x9,Download (1).jpg,,generated,,Download (1).jpg | Watch Free on VURT,(empty),Download (1).jpg. Watch free on VURT.,(empty),"Watch free on VURT. Vertical-first streaming designed for your phone. No paywall, no subscription. S",(empty),"download (1).jpg, vurt, free streaming, watch free, no paywall, myvurt, vertical video, micro drama",(empty),"black cinema, download (1).jpg",(empty),TV-MA,"Watch Download (1).jpg free on VURT. A micro-drama micro-series. No paywall, no subscription.",Download (1).jpg
22,pexels-cottonbro-9669089.jpg,16x9,Pexels-cottonbro-9669089.jpg,,generated,,Pexels-cottonbro-9669089.jpg | Watch Free on VURT,(empty),Pexels-cottonbro-9669089.jpg. Watch free on VURT.,(empty),"Watch free on VURT. Vertical-first streaming designed for your phone. No paywall, no subscription. S",(empty),"pexels-cottonbro-9669089.jpg, vurt, free streaming, watch free, no paywall, myvurt, vertical video, micro drama",(empty),"black cinema, pexels-cottonbro-9669089.jpg",(empty),TV-MA,"Watch Pexels-cottonbro-9669089.jpg free on VURT. A micro-drama micro-series. No paywall, no subscription.",Pexels-cottonbro-9669089.jpg
24,pexels-tima-miroshnichenko-7206411.jpg,16x9,Pexels-tima-miroshnichenko-7206411.jpg,,generated,,Pexels-tima-miroshnichenko-7206411.jpg | Watch Free on VURT,(empty),Pexels-tima-miroshnichenko-7206411.jpg. Watch free on VURT.,(empty),"Watch free on VURT. Vertical-first streaming designed for your phone. No paywall, no subscription. S",(empty),"pexels-tima-miroshnichenko-7206411.jpg, vurt, free streaming, watch free, no paywall, myvurt, vertical video, micro drama",(empty),"black cinema, pexels-tima-miroshnichenko-7206411.jpg",(empty),TV-MA,"Watch Pexels-tima-miroshnichenko-7206411.jpg free on VURT. A micro-drama micro-series. No paywall, no subscription.",Pexels-tima-miroshnichenko-7206411.jpg
25,Shadows of Tomorrow 1,MICRO_SEASON,Shadows of Tomorrow 1,,generated,,Shadows of Tomorrow 1 Season 1 | Stream Free on VURT,Shadows of Tomorrow,Shadows of Tomorrow 1. Watch free on VURT.,(empty),"Watch free on VURT. Vertical-first streaming designed for your phone. No paywall, no subscription. S",(empty),"shadows of tomorrow 1, vurt, free streaming, watch free, no paywall, myvurt, vertical video, micro drama",(empty),"black cinema, shadows of tomorrow 1",(empty),TV-MA,"Watch Shadows of Tomorrow 1 free on VURT. A micro-drama micro-series. No paywall, no subscription.",Shadows of Tomorrow 1 Season 1
26,Shadows of Tomorrow EP1,MICRO_EPISODES,Shadows of Tomorrow,1,generated,,Shadows of Tomorrow Ep 1 | Watch Free on VURT,Shadows of Tomorrow EP1,Shadows of Tomorrow Episode 1. Watch free on VURT.,(empty),"Watch Episode 1 free on VURT. Vertical-first streaming designed for your phone. No paywall, no subsc",(empty),"shadows of tomorrow, vurt, free streaming, watch free, no paywall, myvurt, vertical video, micro drama",(empty),"black cinema, shadows of tomorrow, micro-series",(empty),TV-MA,"Watch Shadows of Tomorrow Ep 1 free on VURT. A micro-drama micro-series. No paywall, no subscription.",Shadows of Tomorrow Episode 1
27,pexels-ivan-s-8499292.jpg,16x9,Pexels-ivan-s-8499292.jpg,,generated,,Pexels-ivan-s-8499292.jpg | Watch Free on VURT,(empty),Pexels-ivan-s-8499292.jpg. Watch free on VURT.,(empty),"Watch free on VURT. Vertical-first streaming designed for your phone. No paywall, no subscription. S",(empty),"pexels-ivan-s-8499292.jpg, vurt, free streaming, watch free, no paywall, myvurt, vertical video, micro drama",(empty),"black cinema, pexels-ivan-s-8499292.jpg",(empty),TV-MA,"Watch Pexels-ivan-s-8499292.jpg free on VURT. A micro-drama micro-series. No paywall, no subscription.",Pexels-ivan-s-8499292.jpg
28,Shadows of Tomorrow EP2,MICRO_EPISODES,Shadows of Tomorrow,2,generated,,Shadows of Tomorrow Ep 2 | Watch Free on VURT,Shadows of Tomorrow EP2,Shadows of Tomorrow Episode 2. Watch free on VURT.,(empty),"Watch Episode 2 free on VURT. Vertical-first streaming designed for your phone. No paywall, no subsc",(empty),"shadows of tomorrow, vurt, free streaming, watch free, no paywall, myvurt, vertical video, micro drama",(empty),"black cinema, shadows of tomorrow, micro-series",(empty),TV-MA,"Watch Shadows of Tomorrow Ep 2 free on VURT. A micro-drama micro-series. No paywall, no subscription.",Shadows of Tomorrow Episode 2
29,Shadows of Tomorrow EP1,MICRO_EPISODES,Shadows of Tomorrow,1,generated,,Shadows of Tomorrow Ep 1 | Watch Free on VURT,Shadows of Tomorrow EP1  Shadows of Tomorrow EP1  Shadows of Tomorrow EP1  Shadows of Tomorrow EP1  ,Shadows of Tomorrow Episode 1. Watch free on VURT.,(empty),"Watch Episode 1 free on VURT. Vertical-first streaming designed for your phone. No paywall, no subsc",(empty),"shadows of tomorrow, vurt, free streaming, watch free, no paywall, myvurt, vertical video, micro drama",(empty),"black cinema, shadows of tomorrow, micro-series",(empty),TV-MA,"Watch Shadows of Tomorrow Ep 1 free on VURT. A micro-drama micro-series. No paywall, no subscription.",Shadows of Tomorrow Episode 1
