id,title,content_type,parsed_show,parsed_episode,seo_title_empty,seo_desc_empty,seo_tags_empty,seo_heading_empty,desc_empty,keywords_empty,parental_rating_null
1,gratisography-cyber-kitty-800x525.jpg,UNKNOWN,Gratisography-cyber-kitty-800x525.jpg,,True,True,True,True,True,True,True
18,,UNKNOWN,,,True,True,True,True,True,True,True
20,download (1).jpg,UNKNOWN,Download (1).jpg,,True,True,True,True,True,True,True
22,pexels-cottonbro-9669089.jpg,UNKNOWN,Pexels-cottonbro-9669089.jpg,,True,True,True,True,True,True,True
24,pexels-tima-miroshnichenko-7206411.jpg,UNKNOWN,Pexels-tima-miroshnichenko-7206411.jpg,,True,True,True,True,True,True,True
25,Shadows of Tomorrow 1,UNKNOWN,Shadows of Tomorrow 1,,True,True,True,True,False,True,True
26,Shadows of Tomorrow EP1,UNKNOWN,Shadows of Tomorrow,1,True,True,True,True,False,True,True
27,pexels-ivan-s-8499292.jpg,UNKNOWN,Pexels-ivan-s-8499292.jpg,,True,True,True,True,True,True,True
28,Shadows of Tomorrow EP2,UNKNOWN,Shadows of Tomorrow,2,True,True,True,True,False,True,True
29,Shadows of Tomorrow EP1,UNKNOWN,Shadows of Tomorrow,1,True,True,True,True,False,True,True
30,Shadows of Tomorrow Trailer,UNKNOWN,Shadows of Tomorrow Trailer,,True,True,True,True,False,True,True
31,pexels-tima-miroshnichenko-7206411.jpg,UNKNOWN,Pexels-tima-miroshnichenko-7206411.jpg,,True,True,True,True,True,True,True
32,Trailer,UNKNOWN,Trailer,,True,True,True,True,False,True,True
33,pexels-eva-bronzini-7135282.jpg,UNKNOWN,Pexels-eva-bronzini-7135282.jpg,,True,True,True,True,True,True,True
34,pexels-cottonbro-6962099.jpg,UNKNOWN,Pexels-cottonbro-6962099.jpg,,True,True,True,True,True,True,True
35,Ep1,UNKNOWN,,1,True,True,True,True,False,True,True
36,Shadows of Tomorrow EP3,UNKNOWN,Shadows of Tomorrow,3,True,True,True,True,False,True,True
37,pexels-tima-miroshnichenko-6011667.jpg,UNKNOWN,Pexels-tima-miroshnichenko-6011667.jpg,,True,True,True,True,True,True,True
38,pexels-kallydru-35388182.jpg,UNKNOWN,Pexels-kallydru-35388182.jpg,,True,True,True,True,True,True,True
40,pexels-kallydru-35388182.jpg,UNKNOWN,Pexels-kallydru-35388182.jpg,,True,True,True,True,True,True,True
41,pexels-kallydru-35388182.jpg,UNKNOWN,Pexels-kallydru-35388182.jpg,,True,True,True,True,True,True,True
42,Whispers in the Dog,UNKNOWN,Whispers in the Dog,,True,True,True,True,True,True,True
43,Whispers in the Dog,UNKNOWN,Whispers in the Dog,,True,True,True,True,False,True,True
44,pexels-kallydru-35388182.jpg,UNKNOWN,Pexels-kallydru-35388182.jpg,,True,True,True,True,True,True,True
45,pexels-ivan-s-8499292.jpg,UNKNOWN,Pexels-ivan-s-8499292.jpg,,True,True,True,True,True,True,True
47,pexels-ivan-s-8499292.jpg,UNKNOWN,Pexels-ivan-s-8499292.jpg,,True,True,True,True,True,True,True
48,pexels-ivan-s-8499292.jpg,UNKNOWN,Pexels-ivan-s-8499292.jpg,,True,True,True,True,True,True,True
49,The Last Melody,UNKNOWN,The Last Melody,,True,True,True,True,False,True,True
50,The Last Melody,UNKNOWN,The Last Melody,,True,True,True,True,False,True,True
51,pexels-cottonbro-9669089.jpg,UNKNOWN,Pexels-cottonbro-9669089.jpg,,True,True,True,True,True,True,True
52,pexels-oskar-gross-1074333632-34192229.jpg,UNKNOWN,Pexels-oskar-gross-1074333632-34192229.jpg,,True,True,True,True,True,True,True
54,pexels-oskar-gross-1074333632-34192229.jpg,UNKNOWN,Pexels-oskar-gross-1074333632-34192229.jpg,,True,True,True,True,True,True,True
55,pexels-oskar-gross-1074333632-34192229.jpg,UNKNOWN,Pexels-oskar-gross-1074333632-34192229.jpg,,True,True,True,True,True,True,True
56,Beyond the Horizon,UNKNOWN,Beyond the Horizon,,True,True,True,True,False,True,True
57,Beyond the Horizon,UNKNOWN,Beyond the Horizon,,True,True,True,True,False,True,True
58,pexels-eva-zwaan-2091032279-30613248.jpg,UNKNOWN,Pexels-eva-zwaan-2091032279-30613248.jpg,,True,True,True,True,True,True,True
59,Beyond the Horizon,UNKNOWN,Beyond the Horizon,,True,True,True,True,True,True,True
60,pexels-lileia-mikhailova-1025464630-20420396.jpg,UNKNOWN,Pexels-lileia-mikhailova-1025464630-20420396.jpg,,True,True,True,True,True,True,True
